name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
# PERSEAN LEAGUE SUBFACTION BUILTINS,,,,,,,,,,,,,,,,,,
Iron Armada,_kazeron_iron,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.Kazeron,"A member of the elite Iron Armada of Kazeron, this ship has undergone a series of basic - but expertly performed - upgrades designed to harden it against hostile fire and improve its longevity on the battlefield. Increases armor by %s points, weapon and engine health by %s points, and reduces overload time by %s.",,graphics/hullmods/_kazeron.png
Order of Westernesse,_westernesse_knight,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.Westernesse,"Personal flagship of one of the esteemed Knights of Westernesse, this ship has been painstakingly upgraded with a series of exquisitely handcrafted components and systems tweaks by the expert shiptechs of Filkenhild designed to increase its deadliness in combat. Increases ballistic weapon rate of fire by %s, beam damage by %s, and maneuverability by %s.",,graphics/hullmods/_westernesse.png
,,,,,,,,,,,,,,,,,,
# BOUNTY BUILTINS,,,,,,,,,,,,,,,,,,
Worth The Effort,_bounty_recoverable,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.BountyRecoveryHullmod,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,
,,,,,,,,,,,,,,,,,,
# goast ship related nonbuiltins,,,,,,,,,,,,,,,,,,
Broad-Spectrum AI Inhibitor,_anti_robot,3,0.5,,special,Special,10000,,,,4,8,12,20,data.scripts.hullmods.DamagedAutomation,"Installs complex exotic radiative devices throughout the ship, jamming the specific wavelengths required for higher-level AI functionality with a tide of white noise and promising some protection against any hostile artificial entity present aboard the vessel. Interferes with the more advanced of a ship's automated systems, reducing maximum combat readiness by %s and increasing minimum crew required by %s.

Although generally considered the exclusive provenance of paranoid luddics, some scavenger captains swear by such devices - crediting them with saving their lives from psychotic food processing droids, rampant nanomachine infestations, or even rogue alpha-plus level AI cores loose in their ships' cogitator banks.","Inhibits all AI activity onboard the ship, requiring extra crew and reducing combat readiness.",graphics/hullmods/_anti_robot.png
,,,,,,,,,,,,,,,,,,
# GGGOaST SHIP BUILTINS,,,,,,,,,,,,,,,,,,
#Ghost Ship,_ghost_ship_mystery,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,_ghost_ship_mystery_nothing,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,_ghost_ship_mystery_rogue_ai,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,_ghost_ship_mystery_hyperlost,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,_ghost_ship_mystery_alien,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,_ghost_ship_mystery_plague,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,_ghost_ship_mystery_nanite,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,_ghost_ship_mystery_cannibal,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Rogue AI,_ghost_ship_rogue_ai,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship's internal cogitators are host to a rogue, malevolent Alpha plus-class AI which has so far proved extremely resistant - sometimes lethally - to any attempts to remove it. Theories that this entity is somehow related to the droneships deployed by the Tri-Tachyon Corporation during the First AI War have so far remained unconfirmed. Though any potential danger has been brought - mostly - under control by means of completely removing any unnecessary automated systems, the crew still demands a force of marine guards be continually stationed aboard 'just in case'. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/markets/rogue_ai.png
Dimensional Anomalies,_ghost_ship_hyperlost,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under mysterious circumstances. Anomalous happenings - noises and sounds, some consistent with those reported by crew who have spent extended periods of time aboard phase ships or near makeshift hyperwave communication relays, others less explicable - are common aboard ship, especially during hyperspace travel. Crew mysteriously disappear at a rate of approximately %s while in hyperspace, and the vessel has a chance to spontaneously phase out when taking damage in non-simulated combat. A sense of dread weighs heavily on the ship's inhabitants, who demand a force of marine guards be continually stationed aboard, just in case - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/direct_jump.png
Xenolife Infestation,_ghost_ship_alien,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship is host to an infestation of hostile xenolife which has so far proven extremely resistant - lethally so - to any attempts to remove it from the hull. Reports of activity are currently %s. A complex web of antipersonnel mines and automated defenses have so far kept the creatures from encroaching too far into the inhabited areas of the vessel, but the crew demands a force of marine guards be continually stationed aboard in case of sudden attack. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/markets/alien_life.png
Plague Ship,_ghost_ship_plague,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship is host to an incredibly lethal and fast-incubating engineered plague which has so far proven extremely resistant to decontamination and sterilization attempts. The bioweapon is incredibly virulent, and accidental contaminations as a result of containment breach are frequent and unavoidable. The stench of death shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards and medics be continually stationed aboard, 'just in case' - though the mortality rate among those affected is currently 100%%, and crew will be lost at a rate of approximately %s regardless. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/markets/inimical_biosphere.png
Nanite Host,_ghost_ship_nanite,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship is host to a swarm of strange nanoscale machines of unknown origin, which has so far proven extremely resistant - often fatally - to attempts to remove it from the vessel. Supplies - and crewmembers - are lost at a rate of approximately %s in combating the infestation and repairing incidental damage, and the ship has a chance to spontaneously disgorge swarms of nanites to defend itself when damaged in non-simulated combat. The crew demands a force of marine guards be continually stationed aboard, 'just in case' - though the mass of nanites aboard the ship has been shown to be entirely immune to standard antipersonnel weaponry. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/markets/abandoned.png
Cannibal Death Cult,_ghost_ship_cannibal,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"Discovered drifting and wrecked in a remote system, this ship is host to a subpopulation - perhaps the former crew - who have apparently regressed into a feral and psychopathically violent state, and have proven extremely difficult to track down and completely eliminate. Reports of activity are currently %s. A complex web of antipersonnel mines and automated defenses have so far kept the feral inhabitants from encroaching too far into the populated areas of the vessel, but the crew demands a force of marine guards be continually stationed aboard in case of sudden attack. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board.

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/markets/dissidents.png
nonexistent,_ghost_ship_activity_1,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.GhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
vanishingly rare,_ghost_ship_activity_2,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.GhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
few and far between,_ghost_ship_activity_3,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.GhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
relatively frequent,_ghost_ship_activity_4,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.GhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
"very frequent, signaling an attack may be coming",_ghost_ship_activity_5,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.GhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
"near constant, heralding an immediately imminent attack",_ghost_ship_activity_6,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.GhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
Semi-Stable Dimensional Anomalies,_ghost_ship_unique_hyperlost,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.GhostShip,"This hull bears the scars of decades of combat and trans-dimensional flight, its bulkheads and armor plates tangibly weathered by plasma fire and hyperspace storms. The ship's cogitators and inbuilt semi-intelligent automation cores have developed several 'tics' over the cycles, and at times it seems almost alive - the dull thumping of ballast autonomously being shifted or cargo spaces being rearranged echoing through its corridors like the labored beating of some vast and incomprehensible heart. Anomalous happenings - noises and sounds, some consistent with those reported by crew who have spent extended periods of time aboard phase ships or near makeshift hyperwave communication relays, others less explicable - are common aboard the ship, especially during hyperspace travel. Crew disappear at a rate of approximately %s while in hyperspace, claimed by whatever dark purpose the hull now works toward, and the vessel has a chance to spontaneously phase out when taking damage in non-simulated combat.",,graphics/icons/abilities/direct_jump.png
,,,,,,,,,,,,,,,,,,
# new D-mods,,,,,,,,,,,,,,,,,,
# Misshapen Turret Gyros,_damaged_turrets,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedTurrets,"Whether due to battle damage or errors in the manufacturing process, weapons mounted on this ship suffer from slower than normal traverse speed and relative vulnerability to damage. Weapon turn speed reduced by %s, and weapon health reduced by %s.

Supply cost to recover from deployment reduced by %s.",Reduces weapon turn rates and durability.,graphics/hullmods/destroyed_weapon_mounts.png
# Inoperative Automated Systems,_damaged_automation,,,,"dmod, damage, civ",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedAutomation,"Due to flaws introduced during manufacturing or possibly battle damage, automated systems aboard the ship that would normally assist the crew are almost entirely inoperable. Maximum combat readiness reduced by %s, and minimum crew required increased by %s.

Supply cost to recover from deployment reduced by %s.",Increases minimum crew required and reduces maximum CR.,graphics/hullmods/_very_not_automated_ship.png
Performance Irregularities,_damaged_everything,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedEverything,"This ship suffers from widespread malfunctions and minor glitches, all of which combine to produce a marked negative effect on its overall combat performance. Maximum combat readiness reduced by %s, and has a %s chance of suffering malfunctions during battle.

Supply cost to recover from deployment reduced by %s.",Reduces maximum CR and has a small chance of causing malfunctions.,graphics/hullmods/_damaged_everything.png
Malformed Fighter Weapons,_damaged_fighterweapons,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedFighterWeapons,"This ship's fighter manufactory is damaged or glitched in a particular manner that causes no ill effect to the general performance of chassis it produces, but dramatically reduces the effectiveness of their weapons. Fighter damage reduced by %s, and accuracy reduced by %s.

Supply cost to recover from deployment reduced by %s.",Reduces damage dealt by and accuracy of launched fighters and bombers.,graphics/hullmods/_damaged_fighterweapons.png
Buckled Environmental Shielding,_damaged_environment,,,,"dmod, damage, damageStruct, civ",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedEnvironment,"This ship's environmental and radiation shielding has taken major and irreparable damage at some point in the past, or suffered from major errors in the manufacturing process. Damage taken from environmental or terrain effects and EMP weapons increased by %s.

Supply cost to recover from deployment reduced by %s.","Increases damage taken from environmental hazards, hostile terrain, and EMP weapons.",graphics/hullmods/_damaged_environment.png
Noncompliant Gunnery Core,_damaged_gunnery,,,,"dmod, damage, hasBallistic",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedGunnery,"This ship's integrated gunnery control cogitators are severely out of sync, and have developed several ""tics"" unsettlingly akin to the effects of post-traumatic stress disorder in human crew members. Autofire accuracy reduced by %s, projectile speed reduced by %s, and weapon recoil increased by %s.

Supply cost to recover from deployment reduced by %s.","Reduces autofire accuracy and projectile speed, and increases weapon recoil.",graphics/hullmods/_damaged_gunnery.png
#Impaired Life Support Systems,_damaged_lifesupport,,,,"dmod, damage, damageStruct, civ",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedLifeSupport,"This ship's basic life support systems are barely functional as a result of terrible damage to the ship, critical errors in its manufacturing, or gross mismanagement over the cycles. Whatever the reason, this hull is capable of supporting only a severely limited number of semipermanent crew berthings, and those only in significant discomfort. Maximum combat readiness reduced by %s, and crew capacity reduced by %s.

Supply cost to recover from deployment reduced by %s.",Reduces maximum CR and crew capacity.,graphics/hullmods/_damaged_lifesupport.png
#Distorted Optics,_damaged_optics,,,,"dmod, damage, hasEnergy",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedOptics,"This ship suffers from degraded and flawed optics of the type normally used to project combat beams, rendering any weapons of that type installed on this hull exceptionally short-ranged and inaccurate. Beam range reduced by %s, and accuracy reduced by up to %s degrees of arc.

Supply cost to recover from deployment reduced by %s.",Reduces beam weapon range and accuracy.,graphics/hullmods/_flawed_optics.png
#Flawed Missile Racks,_damaged_missiles,,,,"dmod, damage, hasMissile",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedMissiles,"This ship's missile mounts are misshapen and deformed, either by battle damage or due to errors in the manufacturing process. Missile weapon ammunition reduced by %s and fire rate reduced by %s.

Supply cost to recover from deployment reduced by %s.",Reduces missile weapon maximum ammunition and fire rate.,graphics/hullmods/_damaged_missiles.png
#Irregular Feed Mechanisms,_damaged_ballistics,,,,"dmod, damage, hasBallistic",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedBallistics,"This ship's ballistic mounts are notably warped, either through damage to the hull or errors in its manufacturing, and interfere with the proper feeding of ammunition to any weapons mounted in them. Ballistic weapons suffer %s lower rate of fire, and %s higher flux generation while firing.

Supply cost to recover from deployment reduced by %s.",Reduces ballistic weapon rate of fire and flux efficiency.,graphics/hullmods/_damaged_ballistics.png
#Malfunctioning Ammo Forge,_damaged_ammo,,,,"dmod, damage, hasBallistic, hasMissile",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedAmmo,"This ship's ammunition autoforges suffer from severe damage or degradation, and are incapable of processing the exotic materials typically used in high-performance kinetic, explosive, and energy munitions. Ballistic and missile weapons installed on the hull deal only %s damage.

Supply cost to recover from deployment reduced by %s.",Changes the type of damage dealt by ballistic and missile weapons to Fragmentation.,graphics/hullmods/_defective_ammo.png
#Destabilized Shield Generator,_damaged_shields,,,,"dmod, damage, hasShields",,,,TRUE,,0,0,0,0,data.scripts.hullmods.DamagedShields,"The shield generator on this ship is impossible to calibrate properly due to subtle flaws, introduced through damage to the underlying systems and infrastructure, errors during their manufacturing, or cycles of poor maintenance. Shield upkeep cost increased by %s, and damage taken increased by %s.

Supply cost to recover from deployment reduced by %s.",Increases shield upkeep cost and reduces efficiency.,graphics/hullmods/_faulty_shields.png
,,,,,,,,,,,,,,,,,,
# COMMISSIONED CREWS,,,,,,,,,,,,,,,,,,
Ashen Shielding,CHM_ashen,,,Ashen Keepers,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_ashen,"The Here-Techs of the Ashen Keepers have learned to rely heavily on their superior shield emitters in combat, tuning them for even better performance against the high explosive weaponry common employed by other, less technically-inclined, sects of Ludd's faithful. Reduces high explosive damage taken by shields by %s.",,graphics/hullmods/chm_ashen.png
Solidarity Forever,CHM_communist,,,Red Guards,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_communist,"Crews sourced from the Persean Democratic Peoples' Revolutionary Council, no matter the sect or sub-order they follow, are united in one cause: To bring birth to a new Sector from the ashes of the old. Their fervor carries through to their work, allowing them to carry out their duties in conditions where most would abandon their posts. Increases base peak performance time by %s seconds.",,graphics/hullmods/chm_communist.png
Mandate Optics,CHM_mandate,,,Research Mandate,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_mandate,"The Independent AI War Research Mandate requires that their ships be equipped with specially modified optical systems and integrated gunnery AIs, which extend the range of ballistic and energy weapons by %s/%s/%s/%s percent, depending on hull size. The space required for the complicated assembly requires the removal of some of the ship's plating, reducing armor rating by %s/%s/%s/%s depending on hull size.",,graphics/hullmods/chm_mandate.png
Rimward Efficiency,CHM_rimward,,,Merchant Marine,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_rimward,"Merchants of the Rimward Venture Trading Company are always eager to cut corners and enjoy maximizing space wherever possible. Increases maximum cargo capacity by %s/%s/%s/%s, depending on hull size.",,graphics/hullmods/chm_rimward.png
Stormhawk Elite Pilots,CHM_stormhawk,,,Stormhawk Republic,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_stormhawk,"Pilots of the Stormhawk Republic are extremely skilled interceptors and dogfighters, and carry out extensive training to ensure they keep their edge. Fighters deal an extra %s damage to enemy fighters, bombers, and other strike craft.",,graphics/hullmods/chm_stormhawk.png
