id,name,value,maxlife,tags,foodCommodities,rarity,foodPerMonth,desc,natural_death,icon,hullmod
gigabee,Gigabee,15000,730,c_insect,"IndEvo_pet_food, food",1,1,"An insectoid resembling an old Terran bumblebee with both a friendly demeanor and an easy diet. There are two two major differences to their precursors: They are the size of a cat, and are not swarm animals, instead forming pack bonds with whoever happens to be around. Studies prove that they should not be able to fly with their wing-to-body ratio; the Gigabee does it anyway, and is all the more beloved for it.",buzzed off to heaven.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
vapourray,Kumari Vapour Ray,15000,730,c_fish,"IndEvo_pet_food, organics,",1,2,"Resembling small stingrays, these majestic animals live in the upper, low pressure layers of Kumari Aru. They are filter feeders consuming microscopic wildlife similar to krill, and can easily be tamed with treats. Considered to make great shipborne pets owing to their docile nature and being accustomed to zero G environments.",swam off towards the great dark beyond.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
jungleshark,Jungle Shark,35000,1825,c_fish,"IndEvo_pet_food, food, organs",0.3,5,"A highly active predator native to Jangala. Although usually considered dangerous, some eccentrics capture and keep them as pets. Jungle Sharks are considered a delicacy in Persean League and Hegemony high societies, causing both their price and the amount of people risking their lives to capture one to rise sharply. They are very high maintenance and require frequent feeding.",passed on to the great hunting grounds.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
huggerfish,Huggerfish,15000,730,c_fish,"IndEvo_pet_food, food, organics",1,1,"Discovered in the outskirts of the Sector during a routine scan of a pre-seeded water world, this weird creature evolved from a pufferfish but appears to have lost their signature spikes in the process. Initially adopted by depressed spacers looking for a laugh, their friendliness and their tendency to balloon when happy led to their unprecedented spread as pets amongst the stars.",is now being hugged by a thousand children in the great beyond.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
lober,Imperial Megalobster,35000,1825,c_fish,"IndEvo_pet_food, food",0.5,3,"A needy, cat-sized, vibrant magenta volturnian lobster created in an artificial breeding programme. Smarter than the average dog and quite social for a lobster, the first of these creatures are rumored to have been made for a slightly deranged patriach of a fuel conglomerate during the course of a bet. Considered to be one of the natural heritages of Volturn, their owners are tracked and deaths are investigated by a dedicated company subdivision.","was found lifeless. The investigation bureau sent a strongly worded letter, but did not take further action.",graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
agravifish,Agravifish,15000,730,c_fish,"IndEvo_pet_food, food",0.9,1,"Their name is a shortened version of ""anti-gravity jellyfish"". Found only in advanced space habitats or kept by exceedingly rich captains, they are admired for their otherworldly beauty and their ability to float effortlessly in mid-air. They use their long, delicate tentacles to grasp onto objects or unsuspecting spacers' heads. Keeping antitoxins on hand is generally recommended.",floated off towards the next cycle of life.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
aristocrats,Mazalotian Goldfish,8000,730,c_fish,"IndEvo_pet_food, food",1.2,1,"These are brightly-colored, tropical fish that are native to the signature waterworld of the Persean League. They are popular among space travelers who keep them in small aquariums for their beauty, though they do tend to die quickly when not fed properly. Their name has become a synonym for the aristocracy, who hate the term with a passion.",did not get fed for a single day and died.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
swearingcrab,Profane Crustacean,8000,730,c_fish,"IndEvo_pet_food, food",1,1,"What happens when a bunch of bored soldiers get their hands on a mobile genetic editing kit? A swearing crab. Literally. Through the power of severe overestimation of ability, these crustaceans have been imbued with both the capacity to mimic human language and a massive dictionary of profanities. Most people act as if they were not funny. Their wide spread speaks other words. Mostly swear words.",GOT FUCKED YOU BLOODY ASS CUNT BUY ANOTHER ONE,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
cyberparrot,Cyberparrot,22000,1095,c_bird,"IndEvo_pet_food, food, IndEvo_parts",0.8,1,"These colorful and viciously smart parrots have been enhanced with cybernetic implants, giving them an intellect often surpassing their owners. They are popular among tech enthusiasts and often used as companions by space engineers and mechanics, to serve as both pet and assistant. There is a popular story about a captain that lost in a mutiny against his Cyberparrot, who then went on to have a successful career as pirate lord.",now tinkers on in hyper-heaven.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
salvageraven,Salvage Raven,22000,1095,c_bird,"IndEvo_pet_food, food",1,1,"Descended from ancient terran birds, these keen, jet-black feathered troublemakers have an insatiable thirst for shiny objects. Untamed specimen are the bane of any mechanic, but properly trained ones are able to sort and categorize salvage and tools with surprising accuracy, making cleanup operations significantly faster - even if some pieces tend to go missing every now and then. Nicknamed ""The Engineers' Second Best Friend."". First place goes to the hammer, since time immemorial.",went on to steal trinkets from Ludd.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
hullchicken,Hull Chicken,15000,730,c_bird,"IndEvo_pet_food, food, metals",1.5,1,"Hull Chickens got named after their tendency to nest in armor bulkheads. They evolved to scavenge for iron scraps and other metal debris to supplement their diet, creating eggs with hard metal shells that survive floating in Zero-G and protect against the impact that happens when the grav generators kick in again. Their small size and low resource requirements also make them an ideal and surprisingly affectionate pet for those living in cramped quarters.",now nests in the great beyond.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
slaghound,Slag Hound,75000,3650,c_alien,"IndEvo_pet_food, ore, rare_ore, metals, rare_metals, IndEvo_parts, heavy_machinery",0.1,5,"What appears to be a mobile pile of rocks is actually a sentient animal of lazy and docile nature. Their extremely high internal temperature and diet of coal, ores and metal gave them their name and made them ideal companions to both scavs and salvagers, who keep them as moving waste disposals. Slag hounds never stop growing and are considered functionally immortal - which causes many to become involuntary asteroids when their habitat amongst the stars meets an untimely end.",became too large to fit into even the largest bay and had to be ejected from the ship. It was given its favorite alloys and lots of pets before the departure. Its trajectory will have it land on a metal-rich planet in due time.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
goopuppies,Goo Puppy,75000,3650,c_alien,"IndEvo_pet_food, food, volatiles, organics, organs",0.1,3,"These are small, amorphous creatures that like forming into entities reminiscent of young dogs. They are playful and affectionate, and can mold themselves into different shapes and sizes. They also eat anything, including spare electronics and body parts, and usually have a permanent employment in the mess hall.",became unstable due to old age and dissipated in its sleep. The ship crew held a wake and served jelly shots.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
voidsquid,Astral Squid,75000,3650,c_alien,"IndEvo_pet_food, food, organs",0.1,4,"Small packs of fighter sized, spaceborne animals with an uncanny resemblance to regular earth squids, these creatures hunt via ambush tactics and scavenge in the upper atmosphere of planets. Exceptionally intelligent to the point many consider them smarter than your average marine, they can be trained to retrieve lost crew from space in exchange for food. Comsec actively denies rumors of the Astral Kraken, causing spacers to collectively accept the myth as truth.","departed from your fleet into deep space to die in peace. It left a pile of unidentified meat as departure gift. You held a feast to remember it by, and only a few crewmembers got sick afterwards.",graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
kaysaar,Ashen Cat,30000,1460,c_mech,"IndEvo_pet_food, food, organs",0.3,1,"Looking like a black-and-grey cat, these creatures are the result of a nanite host attaching itself to a common house cat like a viral disease. They shed dead nanites wherever they go, earning themselsves their name and making them a nuisance to filter repairmen everywhere. Considered uncommon, they tend to live longer than their counterparts due to the nanites gradually replacing their biological bodies.",dissolved into ash after losing their last natural pieces to the nanite disease.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
balloon,Blobfish,8000,730,c_fish,"IndEvo_pet_food, food",0.6,1,"Blobfish have nothing to do with their old-earth counterparts. They are a weird, lab-made, landborne animal of the probably-a-fish variety who inflate when threatened, not threatened, hungry or bored, getting bigger each time. Since they lose elasticity when ageing, they tend to look like old saggy bags after a while. Most common cause of death: a child with a needle.",turned into a balloon and was popped. This does not come as a surprise to anyone.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
lordandsaviour,Lord Foog the 2st,140000,1095,"c_mammal, no_sell, no_drop","IndEvo_pet_food, food, organs",0.1,2,"The full species name is actually His Majesty Grand Protector Lord Foog the 2st, Regent Theoretical. Bred from an ancient Borzoi line, only three exist at any time - 1st, 2st, and 3st - to keep the population stable and properly inbred. These dogs have psychic powers, strength depending on nose length, and are incredibly good at aiming down iron sights, making them a credible threat in combat. Lord Foog Borzoi are the only animals that may own land according to Persean League regulations, and have extensive assets all over Mazalot.",passed away due to old age. A state funeral was held and they will be interred in the family crypt after the mandatory mourning period has finished.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
