id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
IndEvo_PetStore,Animal Center,20,30,,3,,,"structure, unraidable",,graphics/industry/petshop.png,indevo.industries.petshop.industry.PetShop,"The Persean Animal Conservation Guild oversees the operation of every Animal Center, irrespective of its location, due to their exclusive patent for legally acquiring and trading animals across multiple planets. Over time, this arrangement has led to intricate organizational structures and increasingly ambiguous regulations. Consequently, even rare animals occasionally become accessible for purchase.",500,
IndEvo_Museum,Museum,10,30,,3,,,"structure, unraidable",,graphics/industry/museum.png,indevo.industries.museum.industry.Museum,"Museum - store rare ships & items - adds small flat income dep. on ship value - once value limit reached, add +1 stab and some immigration - organize parade fleets - add up to 5 customizeable storage spaces to your colony",500,
,,,,,,,,,,,,,,
#Artillery,,,,,,,,,,,,,,
IndEvo_Artillery_base,Orbital Artillery,,,,,,,"artillery, parent_item, important, structure, codex_unlockable, military",artillery,graphics/icons/industry/station_category.png,indevo.industries.artillery.industry.ArtilleryStation,"The remains of an ancient strategic artillery station hang listless over $market. Repairing it will provide you with a defensive weapons system of unrivalled effectiveness.

Refitting the original system is possible thanks to the automated construction drones the platform is equipped with - you can choose from several variations.",2000,
IndEvo_Artillery_mortar,Orbital Artillery - Mortar,150,120,,10,,,"artillery, sub_item, structure, important, unraidable, codex_unlockable, military","{
radius:40,
variant:IndEvo_artilleryStation_mortar_variant,
fleetName:Orbital Artillery,
}",graphics/industry/artilleryStation_active.png,indevo.industries.artillery.industry.ArtilleryStation,"An ancient, Domain-built strategic system defence platform. It will bombard targets with a high volume of explosive ordinance at extreme range..

It operates semi-autonomously as the control core does not seem to accept contemporary auth keys.",500,
IndEvo_Artillery_missile,Orbital Artillery - Missile,150,120,,10,,,"artillery, sub_item, structure, important, unraidable, codex_unlockable, military","{
radius:40,
variant:IndEvo_artilleryStation_missile_variant,
fleetName:Orbital Artillery,
}",graphics/industry/artilleryStation_active.png,indevo.industries.artillery.industry.ArtilleryStation,"An ancient, Domain-built strategic system defence platform. Launches oversized long-range target seeking ECM missiles to interdict and slow hostiles.

It operates semi-autonomously as the control core does not seem to accept contemporary auth keys.",500,
IndEvo_Artillery_railgun,Orbital Artillery - Railgun,150,120,,10,,,"artillery, sub_item, structure, important, unraidable, codex_unlockable, military","{
radius:40,
variant:IndEvo_artilleryStation_railgun_variant,
fleetName:Orbital Artillery,
}",graphics/industry/artilleryStation_active.png,indevo.industries.artillery.industry.ArtilleryStation,"An ancient, Domain-built strategic system defence platform. The cruiser-sized railgun fires multiple extremely fast projectiles at high range.

It operates semi-autonomously as the control core does not seem to accept contemporary auth keys.",500,
,,,,,,,,,,,,,,
#Technical,,,,,,,,,,,,,,
IndEvo_pirateHavenSecondary,Privateer Base Secondary,0,0,,0,,,"industry, unraidable, no_saturation_bombardment, do_not_show_in_build_dialog, hide_in_codex",,graphics/industry/pirateHaven.png,indevo.industries.privateer.industry.PrivateerBaseSlotBlocker,This industry blocks the second industry slot required by the Privateer Base.,9999,
IndEvo_ChamelionIndustry,Chamelion Industry,0,0,,0,IndEvo_RuinedInfra,,"structure, do_not_show_in_build_dialog, hide_in_codex",,graphics/industry/industrialRuins.png,indevo.industries.ruinfra.industry.ChamelionIndustry,,9999,
IndEvo_InvisiblePlanetaryShield,Planetary Shield,150,90,,3,,,"grounddefenses, structure, do_not_show_in_build_dialog, hide_in_codex",,graphics/icons/industry/planetary_shield.png,indevo.industries.InvisiblePlanetaryShield,An envelope of charged plasma seeded with exotic virtual particles producing effects which disrupt the combat effectiveness of long-range bombardment and even incursion by small vessels. The planetary shield can be continually charged and controlled by a central source and presents a formidable obstacle to any form of ground assault.,2700,EXTREME
,,,,,,,,,,,,,,
#Derelicts,,,,,,,,,,,,,,
IndEvo_HullDecon,Hull Deconstructor,70,80,,7,IndEvo_Ruins,,"structure, industrial, unraidable, do_not_show_in_build_dialog, codex_unlockable, IndEvo_showDeconstructWarning",,graphics/industry/hullDecon.png,indevo.industries.derelicts.industry.HullDeconstructor,,500,HIGH
IndEvo_HullForge,Hull Forge,70,80,,7,IndEvo_Ruins,,"structure, industrial, unraidable, do_not_show_in_build_dialog, codex_unlockable, IndEvo_showDeconstructWarning",,graphics/industry/hullForge.png,indevo.industries.derelicts.industry.HullForge,,500,HIGH
IndEvo_ResLab,Ancient Laboratory,60,60,,6,IndEvo_Ruins,,"structure, unraidable, do_not_show_in_build_dialog, codex_unlockable, IndEvo_showDeconstructWarning",,graphics/industry/resLab.png,indevo.industries.derelicts.industry.AncientLaboratory,,500,MEDIUM
IndEvo_RiftGen,Rift Generator,60,60,,10,IndEvo_Ruins,,"structure, unraidable, do_not_show_in_build_dialog, codex_unlockable, IndEvo_showDeconstructWarning",,graphics/industry/riftGen.png,indevo.industries.derelicts.industry.RiftGenerator,,500,EXTREME
IndEvo_Ruins,Old Industrial Ruins,0,0,,0,,,"structure, unraidable, no_saturation_bombardment, do_not_show_in_build_dialog, codex_unlockable, IndEvo_showDeconstructWarning",,graphics/industry/derelict.png,indevo.industries.derelicts.industry.Ruins,"Ancient, ruined industrial compounds can be found throughout the countryside of this world. Their origin or builder is unknown, but they look to be pre-collapse.

You might be able to restore them to working order.",500,
IndEvo_RuinedInfra,Ruined Infrastructure,0,0,,0,,IndEvo_ChamelionIndustry,"structure, unraidable, no_saturation_bombardment, do_not_show_in_build_dialog, codex_unlockable",,graphics/industry/industrialRuins.png,indevo.industries.ruinfra.industry.RuinedInfrastructure,"Old, broken industrial infrastructure is spread throughout the ruins covering this world. Surprisingly, key parts of it seem to be in repairable condition.

You might be able to restore it to working order.",500,
,,,,,,,,,,,,,,
#Flavour,,,,,,,,,,,,,,
IndEvo_BaseFlavourInd,World Symbols,,,,,,,"flavor, parent_item, structure, unraidable",flavor,graphics/industry/flavour/palace_light.png,indevo.industries.worldwonder.industry.WorldWonder,"Humanity has created wonders since the first inception of architecture - be it through scale or meaning. The structures in this group represent such efforts, symbols of will and perseverance in a decaying sector.",110,
IndEvo_LightPalace,Modern Palace,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/palace_light.png,indevo.industries.worldwonder.industry.WorldWonder,"An opulent, bright, modern palace, built to include every luxury known to man. This extraordinarily expensive compound, while not intended to benefit the general populace, still inspires awe and hope for a better future in anyone fortunate enough to be born on a planet able to support such a wonder.

Causes recent unrest on this planet to decay at a rate of one point per month, and increases the stability of all planets in the system by 1.",110,
IndEvo_DarkPalace,Dark Palace,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/palace_dark.png,indevo.industries.worldwonder.industry.WorldWonder,"An dark, almost oppressive palace, built in a modern interpretation of gothic architecture. This extraordinarily expensive compound, while not constructed to the benefit of anyone other than the high echelons of society, still inspires awe in anyone fortunate enough to be born on a planet able to support such a waste of resources - and enough fear to keep anyone thinking otherwise silent.

Causes recent unrest on this planet to decay at a rate of one point per month, and increases the stability of all planets in the system by 1.",110,
IndEvo_Memorial,Memorial,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/memorial.png,indevo.industries.worldwonder.industry.WorldWonder,"A memorial spanning the size of a small country. This is the ultimate tribute, a testament to an occasion or a person, built to last the ages. People from all over the sector travel here to pay respects and remember.

Causes recent unrest on this planet to decay at a rate of one point per month, and increases the stability of all planets in the system by 1.",110,
IndEvo_LeisureOrbitals,Leisure Orbitals,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/leisure_orbitals.png,indevo.industries.worldwonder.industry.WorldWonder,"If there was ever a spectacle you had to have seen before your inevitable end, the orbit of $marketName would qualify. Thousands of massive, bright and colourful stations hang in orbit, each trying to outdo its neighbours in opulence. Everything can be bought, experienced or gambled away here - and even a short visit will leave you with unforgettable memories.

Causes recent unrest on this planet to decay at a rate of one point per month, and increases the stability of all planets in the system by 1.",110,
IndEvo_Megachurch,Cathedral,100,90,,10,,,"flavor, sub_item, structure, unraidable",kadur_megachurch,graphics/industry/flavour/megachurch.png,indevo.industries.worldwonder.industry.WorldWonder,"The Children of Earth, regardless of origin or alignment, have always needed something to believe in, and have always built monuments to validate these beliefs. This enormous cathedral is one of many such attempts, but it is by far the most ambitious of recent times - a massive complex of megabuildings, constructed only to spread the tenets of the predominant religion.

Causes recent unrest on this planet to decay at a rate of one point per month, and increases the stability of all planets in the system by 1.",110,
IndEvo_IcePalace,Ice Palace,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/ice_palace.png,indevo.industries.worldwonder.industry.IcePalace,"With an exterior built from ice and snow, this glittering palace looks as if transplanted out of a fairy tale. Maintaining it is a massive undertaking and requires many different, specialized professions. While entry is prohibited to the general public, the mere presence of this architectural marvel inspires pride in the people residing on $marketName - for few can boast about living near a castle made of dreams.

Causes recent unrest on this planet to decay at a rate of one point per month, and increases the stability of all planets in the system by 1.",110,
IndEvo_LavaFortress,Lava Fortress,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/lava_fortress.png,indevo.industries.worldwonder.industry.LavaFortress,"Massive, onyx walls and channels filled with molten rock adorn this tremendous neo-gothic fortress. It does not exactly have any defensive benefits, and comes with an interior more suited to state visits than military exercise, but it is incredibly impressive nonetheless. It also has a lavafall. That is enough for most people to justify the running costs.

Causes recent unrest on this planet to decay at a rate of one point per month, and increases the stability of all planets in the system by 1.",110,
IndEvo_LifeTree,Tree of Life,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/tree_of_life.png,indevo.industries.worldwonder.industry.WorldTree,"Centuries ago, a second Domain reclamation fleet chanced upon an inhabited planet, hosting life consisting only of a single tree with a canopy piercing the clouds. According to records, alien bacteria had integrated with a redwood sapling and rapidly grown to titanic proportions while establishing a mycelium-like network connecting all life on the planet. Technically, no humans were encountered.

This is a neutered clone of the tree they found - and what a sight to behold.

Causes recent unrest on this planet to decay at a rate of one point per month, and increases the stability of all planets in the system by 1. Might affect the local wildlife.",110,
IndEvo_CloudPainter,Cloud Painter,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/cloud_painter.png,indevo.industries.worldwonder.industry.CloudPainter,"Technological advances in terraforming and weather control brought forth a host of impractical yet impressive implementations. Amongst them, cloud painting is considered the apex of wasteful opulence. 

A network of towers spanning the entire planet eating more energy than most industries seed nano-compounds into the atmosphere to colour and form vapours into dream-like shapes; This is a child's wish come true.

Causes recent unrest on this planet to decay at a rate of one point per month, and increases the stability of all planets in the system by 1. Allows cloud texture control.",110,
,,,,,,,,,,,,,,
#Rebalancing,,,,,,,,,,,,,,
commerce,Commerce,90,90,,3,,,"industry, urban",,graphics/icons/industry/commerce.png,indevo.industries.TradeCenter,"Regulations, grants, and infrastructure to encourage thriving independent trade. Greatly reduces the degree of direct control the administration has over the colony.",1950,MEDIUM
