id,trigger,conditions,script,text,options,notes
IndEvo_crucible_unlockGate,CrucibleTravelOptions,"!$crucibleGateUnlocked
IndEvo_HasGenericSpecialItemInCargo coronal_tap",,"There is a very prominent hologram of what may be some kind of hypertech power bridge. A sheet of synth-paper stuck to the nearby console marks it as ""broke?"".",2:IndEvo_crucible_unlockGate_select:Use a Hypershunt Tap to fix the hyperspace power-bridge,integrate gate
IndEvo_crucible_unlockGateDisabled,CrucibleTravelOptions,"!$crucibleGateUnlocked
!IndEvo_HasGenericSpecialItemInCargo coronal_tap","SetEnabled IndEvo_crucible_unlockGate_select false
SetTooltip IndEvo_crucible_unlockGate_select ""The relay is completely broken and you lack the components required to fix it. The tech level of this piece seems extremely out of place compared to the otherwise ancient equipment around it - almost alien, in fact. However, it is clearly hyperspace technology.""","There is a very prominent hologram of what may be some kind of hypertech power bridge. A sheet of synth-paper stuck to the nearby console marks it as ""broke?"".",2:IndEvo_crucible_unlockGate_select:Attempt to fix the hyperspace power-bridge,
IndEvo_crucible_useGate,CrucibleTravelOptions,$crucibleGateUnlocked,,"The hypertech status holo presents an eye-searing orange warning sign. A sheet of paper stuck to the emitter reads ""works?"". The Gate-bridge appears to be functional.",2:IndEvo_crucible_useGate_select:Interface with a Gate,Fire gate if integrated
IndEvo_crucible_moveCrucible,CrucibleTravelOptions,$crucibleWormholeUnlocked,,,3:IndEvo_crucible_moveCrucible_select:Move the Crucible,"unlocked with WH anchor, destroy on use"
IndEvo_crucible_changeCatapultColour,CrucibleTravelOptions,,,,4:IndEvo_crucible_changeCatapultColour_select:Adjust the colour of the catapults,Change catapult colours
IndEvo_crucible_travelOptionReturn,CrucibleTravelOptions,,"SetShortcut IndEvo_crucible_returnToMainMenu ""ESCAPE""",,9:IndEvo_crucible_returnToMainMenu:Return,
,,,,,,
#Return options,,,,,,
IndEvo_crucible_returnToMainMenu,DialogOptionSelected,$option == IndEvo_crucible_returnToMainMenu,FireBest CrucibleReturnToMain,,,
IndEvo_crucible_travelOptionReturnSelected,CrucibleReturnToMain,!$hasMarket,FireAll CrucibleOptions,,,
IndEvo_crucible_travelOptionReturnWithMarketSelected,CrucibleReturnToMain,$hasMarket,"$menuState = main 0
FireAll PopulateOptions",,,
IndEvo_crucible_selectCloseOption,DialogOptionSelected,$option == IndEvo_crucible_selectCloseOption,DismissDialog,,,
,,,,,,
#Unlock options,,,,,,
IndEvo_crucible_unlockWormhole_select,DialogOptionSelected,$option == IndEvo_crucible_unlockWormhole_select,"Highlight ""permanent""","The wormhole anchor fits as if made for it - which it probably was. Installation is permanent, as there is no apparent way to shut off the power draw without breaking the entire assembly.","1:IndEvo_crucible_unlockWormhole_confirm:Confirm the installation of the anchor
2:IndEvo_crucible_addTravelOptions:Return",
IndEvo_crucible_unlockGate_select,DialogOptionSelected,$option == IndEvo_crucible_unlockGate_select,"Highlight ""destroy""",Fixing the power relay will require disassembly of the Hypershunt Tap. This will destroy the tap for good.,"1:IndEvo_crucible_unlockGate_confirm:Confirm sacrificing the tap to restore the bridge
2:IndEvo_crucible_addTravelOptions:Return",
,,,,,,
IndEvo_crucible_unlockWormhole_confirm,DialogOptionSelected,$option == IndEvo_crucible_unlockWormhole_confirm,"$crucibleWormholeUnlocked = true
AddRemoveAnyItem SPECIAL wormhole_anchor -1
FireAll CrucibleTravelOptions","The wormhole anchor clicks into place with all the grace of a coffin falling shut. The surrounding relays spark , valves hiss and indicators awaken from their centuries-old sleep. You can feel the telltale prickling of a power surge coming up. It is time to leave.

Your head custodian greets you in the control room and directs you to a section previously bathed in darkness, now lit in purple hues - a functioning wormhole control array.

This could, in theory, move the entire crucible somewhere else.",,
IndEvo_crucible_unlockGate_confirm,DialogOptionSelected,$option == IndEvo_crucible_unlockGate_confirm,"$crucibleGateUnlocked = true
AddRemoveAnyItem SPECIAL coronal_tap -1
","A slightly frazzled chief engineer directs the transfer of the tap from cargo to the lower engineering holds. He keeps talking to himself, which really just reinforces his competence. The tap will be disassembled and used to patch what is assumed to be broken in the crucible hyperspace machinery - as far as it is understood, at least.",1:IndEvo_crucible_unlockGate_confirm2:Continue,
IndEvo_crucible_unlockGate_confirm2,DialogOptionSelected,$option == IndEvo_crucible_unlockGate_confirm2,FireAll CrucibleTravelOptions,"On returning to the control room you immediately notice the now active machinery surrounding the formerly broken hypertech consoles. Your custodian forgoes a greeting.

""This thing is a gate.""

A gear passes above, casting shadow across the blinking console lights.",,
,,,,,,
#Explore the crucible,,,,,,
IndEvo_crucible_explore,DialogOptionSelected,$option == IndEvo_crucible_explore,"$first_visit = false
FireAll CrucibleExploration
$currentLoc = junction 0","After hours of deploying survey drones to check for access points, a lucky operator stumbles across a shuttle access port that isn’t locked down with shutters thicker than starship armor.

Traversing it is mind-numbingly boring, with rusted, ancient pipes being all there is to look at. A junction opens after what seems like ages – and it features a landing ramp and a maintenance access. Your crew immediately moves to set up a base camp.

This may become a longer operation. Where to next?
",,
IndEvo_crucible_explore_onreturn,DialogOptionSelected,$option == IndEvo_crucible_explore_onreturn,"FireAll CrucibleExploration
$currentLoc = junction 0","With the base camp established and the route clear, you trip to ""Maintenance Central"", as it has come to be known amongst your crew, is relatively quick and uneventful.

You are greeted by salvors hurrying between jobs to the sounds of hammer blows and distant gunfire as you step off the ramp. 

A servor bot helpfully presents the scheduled exploration party departures.
",,
IndEvo_crucible_explore_hab,CrucibleExploration,,$c_currentLoc = hab 0,,1:IndEvo_c_hab_0:A section of the habitation halls,"swarming with bots and death, the murals tell the story of the place"
IndEvo_crucible_explore_eng,CrucibleExploration,,$c_currentLoc = eng 0,,2:IndEvo_c_eng_0:The closest engineering tracts,option to turn on power
IndEvo_crucible_explore_cont,CrucibleExploration,,$c_currentLoc = cont 0,,3:IndEvo_c_cont_0:A local control cluster,inactive: no options / if active: Open access to port for proper entry
IndEvo_crucible_explore_cargo,CrucibleExploration,,$c_currentLoc = cargo 0,,4:IndEvo_c_cargo_0:A cargo and storage area,"marine requirement, if done, dont display the pilfer option anymore
guarded fiercly"
,,,,,,
,,,,,,
#pilfer the crucible,,,,,,
IndEvo_crucible_startLooting,DialogOptionSelected,$option == IndEvo_crucible_startLooting,"$crucible_looted = true
SetShortcut IndEvo_crucible_returnToMainMenu ""ESCAPE""",You loot stuff. Cool!,9:IndEvo_crucible_returnToMainMenu:Return,maybe have this take some time and marines!
,,,,,,
#Activating the crucible,,,,,,
IndEvo_crucible_startActivate,DialogOptionSelected,$option == IndEvo_crucible_startActivate,"IndEvo_StartCrucible
SetShortcut IndEvo_crucible_returnToMainMenu ""ESCAPE""",,9:IndEvo_crucible_selectCloseOption:Return,
,,,,,,
#Colonize the crucible,,,,,,
IndEvo_crucible_colonize,DialogOptionSelected,$option == IndEvo_crucible_colonize,"IndEvo_ColonizeCrucible
SetShortcut IndEvo_crucible_returnToMainMenu ""ESCAPE""",,9:IndEvo_crucible_selectCloseOption:Return,
,,,,,,
#Beacons,,,,,,
IndEvo_beacon_OpenDialogCustom,OpenInteractionDialog,"$tag:warning_beacon
$tag:IndEvo_beacon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous warning beacon emits a looping message. 
It was placed here by your fleet.",beaconLeave:Leave,
IndEvo_beacon_destroyConfirm,DialogOptionSelected,$option == IndEvo_beacon_destroyConfirm,,Are you sure you want to destroy this warning beacon? This can not be undone.,"0:IndEvo_beacon_destroyLeave:Confirm
beaconLeave:Leave",added to dialogue via listener
IndEvo_beacon_destroyLeave,DialogOptionSelected,$option == IndEvo_beacon_destroyLeave,"IndEvo_RemoveCurrentInteractionTarget
DismissDialog",,,
,,,,,,
IndEvo_GachaStationCargoOpen,IndEvo_GachaStationCargoOpen,,OpenStorageTabOnGachaStation,,,
,,,,,,
IndEvo_foog_aristrocratGreetingNoLock,PickGreeting,"$id == foogAristo score:1000
$player.foogLocked == false","ShowPersonVisual
SetShortcut cutCommLink ""ESCAPE""","A woman overdressed to the point of absurdity glances up at you as soon as the rather fancy heraldic emblem stops spinning and the comm stabilizes. 

""Oh. Another plebeian coming to catch a glimpse of His Majesties' enchanting visage, are you?""","IndEvo_foog_insultTheCunt:""What did you just say?""
IndEvo_foog_ignoreTheCunt:""I wish to serve His Majesty.""
cutCommLink:Cut the comm link",
IndEvo_foog_aristrocratGreetingLocked,PickGreeting,"$id == foogAristo score:1000
$player.foogLocked == true","SetShortcut cutCommLink ""ESCAPE""","The heraldic emblem turns and turns, but no answer is forthcoming.
You may have to wait a while for the order to forget about your existence.",cutCommLink:Cut the commlink,
IndEvo_foog_aristrocratGreetingReturnedNoRep,PickGreeting,"$id == foogAristo score:1000
$player.foogReturn == true
$faction.rel != COOPERATIVE","SetShortcut cutCommLink ""ESCAPE""
Highlight ""(Required: Cooperative)""","The heraldic emblem turns and turns, but no answer is forthcoming.
You might want to work on your reputation. (Required: Cooperative)",cutCommLink:Cut the commlink,
IndEvo_foog_aristrocratGreetingReturned,PickGreeting,"$id == foogAristo score:1000
$player.foogReturn == true
$faction.rel == COOPERATIVE","ShowPersonVisual
DoCanAffordCheck 300000 IndEvo_foogPay false","""You again."" The woman greeting you is overdressed as ever, and just as condescending.
""What now? Did you manage to, uh, liquidate your oh-so-many assets?""","IndEvo_foogPay:""Yes, actually."" (Pay the 300,000 credits)
IndEvo_foogDelay:""Not yet, I need more time.""",
IndEvo_foog_aristrocratGreetingBought,PickGreeting,"$id == foogAristo score:1001
$player.foogBought == true","SetShortcut cutCommLink ""ESCAPE""","The heraldic emblem turns and turns, but no answer is forthcoming.",cutCommLink:Cut the commlink,
IndEvo_foog_insultTheCunt,DialogOptionSelected,$option == IndEvo_foog_insultTheCunt,"ShowPersonVisual
$player.foogLocked = true 31
SetShortcut cutCommLink ""ESCAPE""","""Seems like it's not only your ears that are too poor to hear us speak. Be a good little beggar and go back the way you came.""

She cuts the comm link.",cutCommLink:Return,
IndEvo_foog_ignoreTheCunt,DialogOptionSelected,$option == IndEvo_foog_ignoreTheCunt,"ShowPersonVisual
SetShortcut cutCommLink ""ESCAPE""","""Ah, yes, I'm sure many people do. And yet, all of them knew their place, except for you. 

What exactly makes you think you are qualified to become a retainer of the Lord Protector?""","IndEvo_foog_cashMoney:Hold up a bundle of credsticks.
IndEvo_foog_rep:""I am of great repute with the League, check my dossier.""
IndEvo_foog_insult2:""Your mom told me last night.""
cutCommLink:Cut the comm link",
IndEvo_foog_cashMoney,DialogOptionSelected,$option == IndEvo_foog_cashMoney,"ShowPersonVisual
$player.foogLocked = true 15
SetShortcut cutCommLink ""ESCAPE""","Her left eyebrow raises for a second - before returning to its usual condescending place.

""Hm. Where did you steal that from? Did you seriously think We'd believe this charade after you strolled in here, dressed like a beggar?""

She looks you up and down again, managing to look down the entire time.

""Well, I'm not about to hand the Lord over to some street rat. Scurry off, then!""

She cuts the comm link.",cutCommLink:Return,
IndEvo_foog_rep,DialogOptionSelected,"$faction.rel == COOPERATIVE
$option == IndEvo_foog_rep","Highlight ""300,000 credits""
ShowPersonVisual
DoCanAffordCheck 300000 IndEvo_foogPay false","""Hm. Looks like you are not all talk, even though you certainly do not know how to dress. The fee to become a retainer is 300,000 credits."", her face contorts into a sneer, "" - which I am sure you have on hand.""","IndEvo_foogPay:Wire the credits.
IndEvo_foogDelay:""I will have to liquidate some assets.""",
IndEvo_foog_rep_too_low,DialogOptionSelected,"$faction.rel != COOPERATIVE
$option == IndEvo_foog_rep","ShowPersonVisual
$player.foogLocked = true 31
SetShortcut cutCommLink ""ESCAPE""","""That does not appear to be the case. So not only have you wasted our time, you have actively lied and insulted us. No need for further talks, I presume.""

She cuts the comm link.",cutCommLink:Return,
IndEvo_foog_insult2,DialogOptionSelected,$option == IndEvo_foog_insult2,"ShowPersonVisual
$player.foogLocked = true 186
SetShortcut cutCommLink ""ESCAPE""","""...""

She cuts the comm link.",cutCommLink:Return,
IndEvo_foogPay,DialogOptionSelected,$option == IndEvo_foogPay,"ShowPersonVisual
AddRemoveCommodity credits -300000 true
AddRemoveAnyItem SPECIAL IndEvo_PetBox lordandsaviour 1","""... Surprising, to say the least. In any case, you are now an official retainer.""
Your tripad chimes, notifying you of an incoming document the size of a legal textbook.

""You'll have to sign that, of course.""",IndEvo_foogCont:Continue,
IndEvo_foogCont,DialogOptionSelected,$option == IndEvo_foogCont,"ShowPersonVisual
$player.foogBought = true
$player.foogReturn = false
SetShortcut cutCommLink ""ESCAPE""","""Your first task is to take the Lord Protector on an extended excursion. We expect you back within about ten cycles. Be aware of the strict dietary requirements of His Majesty, and do not disappoint us. Contact the head office if you have further questions.""

She cuts the comm link without elaborating on what or where the head office is.",cutCommLink:Return,
IndEvo_foogDelay,DialogOptionSelected,$option == IndEvo_foogDelay,"ShowPersonVisual
$player.foogReturn = true
SetShortcut cutCommLink ""ESCAPE""","""Sure you do.""

She cuts the comm link.",cutCommLink:Return,
,,,,,,
#artillery,,,,,,
#IndEvo_ArtilleryInitialPlanet_new,PrintNearbySurveyHostilesTextIfSo,"$IndEvo_ArtilleryStation score:1000
!$defenderFleetDefeated
$market.isPlanetConditionMarketOnly","SetEnabled surveyPerform false
Highlight ""denies any chance of approach""","The giant weapons platform in orbit around $entityName denies any chance of approach, much less survey - and while the oversized armament lays silent for now, you get the feeling that this might change the moment you get closer.",,
IndEvo_ArtilleryInitialStation,OpenInteractionDialog,"$IndEvo_ArtilleryStation score:1000
!$defenderFleetDefeated
$tag:IndEvo_Artillery
$market.isPlanetConditionMarketOnly",,"Most warning lights on your sensor consoles go off as the massive turret turns to face you. 
This might not have been such a grand idea, after all.

You can see hundreds of multi-legged repair bots crawling over the outer station armor, testament to the incredibly robust, ancient repair systems.

There is a good chance that the platform can be restored to functionality under your control after it has been disabled by combat.","1:IndEvo_ArtilleryCombatInteraction:Approach the station
2:defaultLeave:Leave",
IndEvo_ArtilleryCombatInteraction,DialogOptionSelected,$option == IndEvo_ArtilleryCombatInteraction,IndEvo_SalvageDefenderInteraction,"As if the massive turret was not enough of a threat, more and more enemy signatures appear on the radar as soon as you maneuver closer.",,
IndEvo_ArtilleryBeatPlanet,BeatDefendersContinue,$IndEvo_ArtilleryStation score:1000,,"With the automated defense platform out of the way, your $shipOrFleet may finish its approach to the planet.",0:IndEvo_ArtilleryDefeatPopulateOptions:Continue,
IndEvo_ArtilleryBeatStation,BeatDefendersContinue,"$IndEvo_ArtilleryStation score:1000
$tag:IndEvo_Artillery",,Your $shipOrFleet disengages as the defence stations loses any structural integrity it might have had left in a fiery display. The way to the planet is now clear.,0:defaultLeave:Continue,
IndEvo_ArtilleryDefeatPopulateOptions,DialogOptionSelected,$option == IndEvo_ArtilleryDefeatPopulateOptions,FireAll OpenInteractionDialog,,,
IndEvo_ArtilleryInitialPlanet_CircumventionProtection,PopulateOptions,"$market.isPlanetConditionMarketOnly
!$market.isSurveyed
!$defenderFleetDefeated
$IndEvo_ArtilleryStation score:1000","SetEnabled surveyPerform false
Highlight ""denies any chance of approach""
SetTooltip surveyPerform ""A survey operation requires heavy machinery and satellites to be deployed. This is not possible with an active defence platform in orbit. Disable it first.""","The giant weapons platform in orbit around $entityName denies any chance of approach, much less survey - and while the oversized armament lays silent for now, you get the feeling that this might change the moment you get closer.",,
IndEvo_ArtilleryInitialPlanet_NexEventDisabler,PopulateOptions,"$market.isPlanetConditionMarketOnly
!$market.isSurveyed
!$defenderFleetDefeated
$IndEvo_ArtilleryStation score:1000","SetEnabled nex_decivEvent_interact false
SetTooltip nex_decivEvent_interact ""Establishing an active connection while a planetary defence platform is in immediate range has a very high chance of causing a target lock-on and is thus heavily discouraged.""",,,
IndEvo_ArtilleryInitialPlanet_NexOutpostDisabler,PopulateOptions,"$market.isPlanetConditionMarketOnly
!$market.isSurveyed
!$defenderFleetDefeated
$IndEvo_ArtilleryStation score:1000","SetEnabled nex_outpostPreview false
SetTooltip nex_outpostPreview ""There is no way to build an outpost next to an active artillery defence platform.""",,,
,,,,,,
#watchtower,,,,,,
#IndEvo_derelictWatchtower,OpenInteractionDialog,"$IndEvo_isArtilleryActive score:2000
$tag:IndEvo_watchtower",,"Any attempts at connecting to the $entityName get stifled by an obviously AI-backed counter-hack. Your engineers concede defeat after a few minutes to avoid a network breach.

Disabling the entity backing the hacks will probably fix this.",0:defaultLeave:Leave,
IndEvo_derelictWatchtower_notFunctional,OpenInteractionDialog,"$objectiveNonFunctional score:2001
$tag:IndEvo_watchtower",,"The $entityName lies silent and any attempts at interfacing with it are unsuccessful - it might be in some kind of emergency shutdown.

It is unknown if, and when, it might start working again.",0:defaultLeave:Leave,
cob_hackPrompt_watchtower,COB_ConfirmPrompt,"$cob_action == hack
$tag:IndEvo_watchtower score:1000",,"Hacking $aOrAn $shortName will clear your current target data out of the system, and stop it from registering your fleet while the hack is ongoing.

The hack will eventually be picked up and cleared out by maintenance subroutines, but should remain effective for at least two months.",,
IndEvo_derelictWatchtower_disableControlUnderAI,COB_DisableIndividualOptions,"$IndEvo_isArtilleryActive score:2000
$tag:IndEvo_watchtower","SetEnabled COB_takeControl false
SetTooltip COB_takeControl ""Any attempts at taking control of the $entityName get stifled by a heavily AI-backed counter-hack. Your engineers concede defeat after a few minutes to avoid a network breach.""",,,
,,,,,,
#Galatia Job List,,,,,,
IndEvo_JobMenuPoint,PopulateOptions,$id == station_galatia_academy,,,4:IndEvo_JobMenuInit:Visit the Research Tracts,
IndEvo_JobMenuInit,DialogOptionSelected,$option == IndEvo_JobMenuInit,ResearchProjectDialoguePlugin,,,
,,,,,,
#Converters,,,,,,
IndEvo_DysonSwarmMenu,OpenInteractionDialog,$tag:dyson_swarm score:1000,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",An autonomous warning beacon has been left emitting a distorted wail between official channels. Whatever message it was meant to convey has been corrupted.,beaconLeave:Leave,
